Feature,Importance
Zero_Payment,0.21516736821712654
Payment_Ratio,0.14204659169737222
Avg_Call_Duration,0.13519332983060897
Feedback,0.1323277427638816
Max_Call_Duration,0.12797749129613753
Total_Call_Duration,0.1262342344796092
Negative_Feedback,0.11819714828319591
High_Risk_Indicator,0.11819714828319591
Days_Since_Payment,0.11450790918253295
has_no_response,0.11249957020667158
Min_Call_Duration,0.11116968515577294
Paid_amount,0.11060656201403626
Induction_Session,0.08189882635967619
Total_Calls,0.07971391545704945
Call_Frequency,0.07971391545704944
Executive_Team,0.04946459443006501
has_technical_discussion,0.042205745028488506
Course,0.040515953555567905
has_payment_discussion,0.03172978936505901
Source,0.031401733818812595
Background,0.028146385154636473
Total_Amount,0.027220134913806045
Payment_Method,0.02376202576247553
Role,0.02348957196156611
has_interest,0.020086199127839797
Executive_Experience,0.020011422336276237
Education,0.01873001585816957
Current_status,0.015770541001863432
Stream,0.013592915651783189
Career_gap,0.01311580659471603
Mode,0.009375845398398327
Experience,0.008715804124973968
Unique_Executives,0.0
