Feature,Coefficient,Abs_Value
cat__Batch Assigned_Jan 2024,0.08028174498916159,0.08028174498916159
cat__Track Interested_Data Science,0.0735816897856482,0.0735816897856482
cat__Education_DIPLOMA-IT,0.07041878483579272,0.07041878483579272
cat__background_Tech,0.07024648407223079,0.07024648407223079
num__Year of Graduation,0.06642325714594054,0.06642325714594054
cat__Track Interested_PEP Program,0.06558931699580005,0.06558931699580005
cat__Education_MCOM,0.06499088593070437,0.06499088593070437
cat__Track Interested_MERN Stack,0.06471423024987057,0.06471423024987057
cat__Source of lead_Carryover,0.0611588320907223,0.0611588320907223
cat__Induction session_Not Attended,0.06111628201933027,0.06111628201933027
cat__Feedback_Not Attended,0.06111628201933027,0.06111628201933027
cat__Stream_Project,0.053028611613404185,0.053028611613404185
cat__Education_B VOC,0.050400573336649074,0.050400573336649074
cat__Course_Gen AI & Prompt Engineering,0.04756206310761426,0.04756206310761426
cat__Track Interested_Not Mentioned,0.04736073478902518,0.04736073478902518
cat__Batch Assigned_Jun 2026,0.04669620525767367,0.04669620525767367
cat__Source of lead_Naukri,0.045529730756899305,0.045529730756899305
cat__Track Interested_Gen AI & Prompt Engineering,-0.04516973674868849,0.04516973674868849
cat__Program Location_Hyderabad,-0.03257025702375007,0.03257025702375007
cat__Stream_Training,0.03220920441227018,0.03220920441227018
cat__City_Pathanamthitta,0.03219899769760541,0.03219899769760541
cat__Feedback_Negative,0.03129583982241502,0.03129583982241502
cat__Source of lead_OLX,0.029932942799113748,0.029932942799113748
cat__Mailing State_Kerala,-0.028062244798085025,0.028062244798085025
cat__Payment_mode_Check,-0.025112826621319813,0.025112826621319813
cat__Induction session_Attended,0.024121534006344647,0.024121534006344647
cat__Batch Assigned_Oct 2026,0.022378891201567604,0.022378891201567604
cat__Source of lead_LinkedIn,0.021424051677946986,0.021424051677946986
cat__Batch Assigned_Aug 2025,-0.019086200893768383,0.019086200893768383
cat__Source of lead_Social Media,0.018671416926987674,0.018671416926987674
cat__Batch Assigned_Dec 2025,0.018288485314038407,0.018288485314038407
cat__Education_B VOC-IT,0.016905009353738214,0.016905009353738214
cat__Course_DA & DS Advanced Program,-0.014623587471984743,0.014623587471984743
cat__background_UNKNOWN,0.014562078770601708,0.014562078770601708
cat__Education_UNSPECIFIED,0.014562078770601708,0.014562078770601708
cat__Source of lead_Digital Marketing,0.011900922148078391,0.011900922148078391
cat__Batch Assigned_Jul 2026,0.011203279454106901,0.011203279454106901
cat__Batch Assigned_Jul 2024,0.011049007908655584,0.011049007908655584
cat__Gender_MAle,0.009749599642517075,0.009749599642517075
cat__Source of lead_Webinar,0.009103844596701615,0.009103844596701615
cat__Batch Assigned_Aug 2026,0.008320075219237805,0.008320075219237805
cat__Education_GRADUATED,0.008069659381236173,0.008069659381236173
cat__Source of lead_SEO,0.0036745067295577056,0.0036745067295577056
cat__Education_PLUS TWO,0.003635440593198612,0.003635440593198612
cat__Batch Assigned_Sep 2026,-0.0021269679986109743,0.0021269679986109743
cat__Source of lead_Bulk Lead,-0.0018192940285345954,0.0018192940285345954
cat__Batch Assigned_Nov 2026,-0.0018192940285345954,0.0018192940285345954
cat__Source of lead_Free Internship Campaign,-0.0011575323774577696,0.0011575323774577696
cat__Source of lead_Job Fair,-0.0006917480480521716,0.0006917480480521716
cat__background_Non-Tech,0.0004292531828442272,0.0004292531828442272
num__join_later,0.0,0.0
num__financial_issue,0.0,0.0
