Model,Train_Mean,Train_Std,Validation_Mean,Validation_Std,Overfit_Gap,Is_Overfit
Logistic Regression,0.9995208942627152,0.0006389139387054934,0.9930359018157559,0.0041934886784035135,0.006484992446959326, NO
K-Nearest Neighbors,0.9924053116711136,0.0008042604166239432,0.9924090437463435,0.0032209675903286713,-3.7320752299674353e-06, NO
SVM,0.9924053116711136,0.0008042604166239432,0.9924090437463435,0.0032209675903286713,-3.7320752299674353e-06, NO
XGBoost,0.9977622993018521,0.0006000983169956735,0.9891450280373769,0.001605936050493022,0.008617271264475201, NO
AdaBoost,0.997440249045766,0.0013801238326510857,0.9879037418120651,0.0031258349485966484,0.00953650723370092, NO
Decision Tree,0.9917989131731219,0.003902400850534313,0.9833696880456049,0.014147777501818042,0.008429225127516982, NO
Random Forest,0.9945732208051716,0.001997736501243924,0.9804290565478262,0.0037390666736385894,0.014144164257345437, NO
Gradient Boosting,0.9809227838317509,0.009969210098876734,0.9743485071311767,0.019925998519638326,0.0065742767005742, NO
